Gene	ECKnum
fadL	ECK2338
fadR	ECK1175
fbaA	ECK2921
fbaB	ECK2090
fbp	ECK4227
fcl	ECK2046
fdhD	ECK3888
fdhE	ECK3884
fdhF	ECK4072
fdnG	ECK1468
fdnH	ECK1469
fdnI	ECK1470
fdoH	ECK3886
fdoI	ECK3885
fdrA	ECK0511
fdx	ECK2522
feaB	ECK1382
feaR	ECK1381
fecA	ECK4281
fecB	ECK4280
fecC	ECK4279
fecD	ECK4278
fecE	ECK4277
fecI	ECK4283
fecR	ECK4282
feoA	ECK3395
feoB	ECK3396
feoC	ECK3397
fepA	ECK0576
fepB	ECK0585
fepC	ECK0581
fepD	ECK0583
fepE	ECK0580
fepG	ECK0582
fes	ECK0577
ffh	ECK2607
fhiA	ECK0230
fhlA	ECK2726
fhuA	ECK0149
fhuB	ECK0152
fhuC	ECK0150
fhuD	ECK0151
fhuE	ECK1088
fhuF	ECK4357
fic	ECK3349
fieF	ECK3907
fimA	ECK4305
fimB	ECK4303
fimC	ECK4307
fimD	ECK4308
fimF	ECK4309
fimG	ECK4310
fimH	ECK4311
fimI	ECK4306
fimZ	ECK0528
fis	ECK3248
fiu	ECK0794
fixA	ECK0042
fixB	ECK0043
fixC	ECK0044
fixX	ECK0045
fklB	ECK4203
fkpA	ECK3334
fkpB	ECK0029
fldA	ECK0672
fldB	ECK2890
flgA	ECK1057
flgB	ECK1058
flgC	ECK1059
flgD	ECK1060
flgE	ECK1061
flgF	ECK1062
flgG	ECK1063
flgH	ECK1064
flgI	ECK1065
flgJ	ECK1066
flgK	ECK1067
flgL	ECK1068
flgM	ECK1056
flgN	ECK1055
flhA	ECK1880
flhB	ECK1881
flhC	ECK1892
flhD	ECK1893
flhE	ECK1879
fliA	ECK1921
fliC	ECK1922
fliD	ECK1923
fliE	ECK1935
fliF	ECK1936
fliG	ECK1937
fliH	ECK1938
fliI	ECK1939
fliJ	ECK1940
fliK	ECK1941
fliL	ECK1942
fliM	ECK1943
fliN	ECK1944
fliO	ECK1945
fliP	ECK1946
fliQ	ECK1947
fliR	ECK1948
fliS	ECK1924
fliT	ECK1925
fliY	ECK1919
fliZ	ECK1920
flk	ECK2315
flu	ECK1993
flxA	ECK1560
fmt	ECK3274
fnr	ECK1330
focA	ECK0895
focB	ECK2488
folA	ECK0049
folB	ECK3048
folC	ECK2309
folD	ECK0522
folE	ECK2146
folK	ECK0141
folM	ECK1601
folP	ECK3166
folX	ECK2297
fpr	ECK3916
frc	ECK2370
frcK	ECK2924
frdA	ECK4150
frdB	ECK4149
frdC	ECK4148
frdD	ECK4147
fre	ECK3836
frlA	ECK3358
frlB	ECK3359
frlC	ECK3360
frlD	ECK3361
frlR	ECK3362
frmA	ECK0353
frmB	ECK0352
frmR	ECK0354
frr	ECK0171
frsA	ECK0240
fruA	ECK2160
fruB	ECK2162
fruK	ECK2161
fruR	ECK0081
frvA	ECK3893
frvB	ECK3892
frvR	ECK3890
frvX	ECK3891
frwB	ECK3941
frwC	ECK3940
frwD	ECK3944
fryA	ECK2379
fryC	ECK2382
fsaA	ECK0815
fsaB	ECK3938
fsr	ECK0473
ftnA	ECK1904
ftnB	ECK1900
ftsA	ECK0095
ftsB	ECK2743
ftsE	ECK3447
ftsH	ECK3167
ftsI	ECK0085
ftsK	ECK0881
ftsL	ECK0084
ftsN	ECK3925
ftsQ	ECK0094
ftsW	ECK0090
ftsX	ECK3446
ftsY	ECK3448
ftsZ	ECK0096
fucA	ECK2795
fucI	ECK2797
fucK	ECK2798
fucO	ECK2794
